皮革装备声音,item.armor.equip_leather
幽匿尖啸体：被放置,place.sculk_shrieker
小型紫晶芽：被放置,place.small_amethyst_bud
海绵：被放置,place.sponge
孢子花：被放置,place.spore_blossom
可疑的沙砾：被放置,place.suspicious_gravel
可疑的沙子：被放置,place.suspicious_sand
凝灰岩：被放置,place.tuff
凝灰岩砖：被放置,place.tuff_bricks
湿海绵：被放置,place.wet_sponge
传送门：呼啸,portal.portal
传送门：噪声消散,portal.travel
传送门：噪声渐响,portal.trigger
幽匿感测体：停息,power.off.sculk_sensor
幽匿感测体：颤动,power.on.sculk_sensor
剪刀：雕刻,pumpkin.carve
不祥号角：鸣响,raid.horn
铁砧：被毁,random.anvil_break
铁砧：着陆,random.anvil_land
铁砧：使用,random.anvil_use
箭：被射出,random.bow
箭：击中,random.bowhit
物品：损坏,random.break
打嗝,random.burp
箱子：关闭,random.chestclosed
箱子：开启,random.chestopen
按钮：咔哒,random.click
门：关闭,random.door_close
门：开启,random.door_open
啜饮,random.drink
吞咽,random.drink_honey
进食,random.eat
末影箱：关闭,random.enderchestclosed
末影箱：开启,random.enderchestopen
爆炸,random.explode
火：熄灭,random.fizz
嘶嘶作响,random.fuse
玻璃：碎裂,random.glass
某物：受伤,random.hurt
玩家：升级,random.levelup
拉杆：拉动,random.lever_click
获得经验,random.orb
物品：被扔出,random.pop
物品：被扔出,random.pop2
酿造台：冒泡,random.potion.brewed
屏幕截图,random.screenshot
潜影盒：关闭,random.shulkerboxclosed
潜影盒：开启,random.shulkerboxopen
溅起水花,random.splash
石头按钮：激活,random.stone_click
游泳,random.swim
UI：弹出,random.toast
UI：解锁配方提示弹出,random.toast_recipe_unlocking_in
UI：解锁配方提示消失,random.toast_recipe_unlocking_out
图腾：发动,random.totem
按钮：咔哒,random.wood_click
音乐唱片（C418 - 11）,record.11
音乐唱片（C418 - 13）,record.13
音乐唱片（Samuel Åberg - 5）,record.5
音乐唱片（C418 - blocks）,record.blocks
音乐唱片（C418 - cat）,record.cat
音乐唱片（C418 - chirp）,record.chirp
音乐唱片（Lena Raine - Creator）,record.creator
音乐唱片（Lena Raine - Creator（八音盒））,record.creator_music_box
音乐唱片（C418 - far）,record.far
音乐唱片（Hyper Potions - Lava Chicken）,record.lava_chicken
音乐唱片（C418 - mall）,record.mall
音乐唱片（C418 - mellohi）,record.mellohi
音乐唱片（Lena Raine - otherside）,record.otherside
音乐唱片（Lena Raine - Pigstep）,record.pigstep
音乐唱片（Aaron Cherof - Precipice）,record.precipice
音乐唱片（Aaron Cherof - Relic）,record.relic
音乐唱片（C418 - stal）,record.stal
音乐唱片（C418 - strad）,record.strad
音乐唱片（Amos Roddy - Tears）,record.tears
音乐唱片（C418 - wait）,record.wait
音乐唱片（C418 - ward）,record.ward
紫水晶：共振,resonate.amethyst_block
重生锚：呼啸,respawn_anchor.ambient
重生锚：充能,respawn_anchor.charge
重生锚：耗能,respawn_anchor.deplete
重生锚：设置出生点,respawn_anchor.set_spawn
斧：刮削,scrape
饰纹陶罐：碎裂,shatter.decorated_pot
幽匿尖啸体：尖啸,shriek.sculk_shrieker
染料：染色,sign.dye.use
墨囊：涂抹,sign.ink_sac.use
锻造台：使用,smithing_table.use
海绵：吸水,sponge.absorb
幽匿块：蔓延,spread.sculk
紫水晶块：被踩上,step.amethyst_block
紫水晶簇：被踩上,step.amethyst_cluster
远古残骸：被踩上,step.ancient_debris
杜鹃花丛：被踩上,step.azalea
杜鹃树叶：被踩上,step.azalea_leaves
竹子：被踩上,step.bamboo_wood
悬挂式竹告示牌：被踩上,step.bamboo_wood_hanging_sign
玄武岩：被踩上,step.basalt
大型垂滴叶：被踩上,step.big_dripleaf
骨块：被踩上,step.bone_block
方解石：被踩上,step.calcite
蜡烛：被踩上,step.candle
洞穴藤蔓：被踩上,step.cave_vines
锁链：被踩上,step.chain
樱花树叶：被踩上,step.cherry_leaves
樱花木：被踩上,step.cherry_wood
悬挂式樱花木告示牌：被踩上,step.cherry_wood_hanging_sign
雕纹书架：被踩上,step.chiseled_bookshelf
布质方块：被踩上,step.cloth
铜块：被踩上,step.copper
铜灯：被踩上,step.copper_bulb
铜格栅：被踩上,step.copper_grate
珊瑚：被踩上,step.coral
饰纹陶罐：被踩上,step.decorated_pot
深板岩：被踩上,step.deepslate
深板岩砖：被踩上,step.deepslate_bricks
缠根泥土：被踩上,step.dirt_with_roots
滴水石块：被踩上,step.dripstone_block
青蛙卵：被踩上,step.frog_spawn
蛙明灯：被踩上,step.froglight
草：被踩上,step.grass
沙砾：被踩上,step.gravel
垂根：被踩上,step.hanging_roots
悬挂式告示牌：被踩上,step.hanging_sign
沉重核心：被踩上,step.heavy_core
蜂蜜块：被踩上,step.honey_block
铁质方块：被踩上,step.iron
梯子：被踩上,step.ladder
苔藓：被踩上,step.moss
下界砖：被踩上,step.nether_brick
下界金矿石：被踩上,step.nether_gold_ore
下界苗：被踩上,step.nether_sprouts
下界疣：被踩上,step.nether_wart
下界木头：被踩上,step.nether_wood
悬挂式下界木告示牌：被踩上,step.nether_wood_hanging_sign
下界合金块：被踩上,step.netherite
下界岩：被踩上,step.netherrack
菌岩：被踩上,step.nylium
粉红色花簇：被踩上,step.pink_petals
滴水石锥：被踩上,step.pointed_dripstone
细雪：被踩上,step.powder_snow
菌索：被踩上,step.roots
沙子：被踩上,step.sand
幽匿块：被踩上,step.sculk
幽匿催发体：被踩上,step.sculk_catalyst
幽匿感测体：被踩上,step.sculk_sensor
幽匿尖啸体：被踩上,step.sculk_shrieker
幽匿脉络：被踩上,step.sculk_vein
菌光体：被踩上,step.shroomlight
黏液块：被踩上,step.slime
雪块：被踩上,step.snow
灵魂沙：被踩上,step.soul_sand
灵魂土：被踩上,step.soul_soil
海绵：被踩上,step.sponge
孢子花：被踩上,step.spore_blossom
菌柄：被踩上,step.stem
石头：被踩上,step.stone
可疑的沙砾：被踩上,step.suspicious_gravel
可疑的沙子：被踩上,step.suspicious_sand
凝灰岩：被踩上,step.tuff
凝灰岩砖：被踩上,step.tuff_bricks
藤蔓：被踩上,step.vines
蜘蛛网：被踩上,step.web
湿海绵：被踩上,step.wet_sponge
木头：被踩上,step.wood
活塞：缩回,tile.piston.in
活塞：伸出,tile.piston.out
垂滴叶：折下,tilt_down.big_dripleaf
垂滴叶：升起,tilt_up.big_dripleaf
试炼刷怪笼：噼啪作响,trial_spawner.ambient
不祥试炼刷怪笼：噼啪作响,trial_spawner.ambient_ominous
试炼刷怪笼：被破坏,trial_spawner.break
试炼刷怪笼：不祥涌动,trial_spawner.charge_activate
试炼刷怪笼：关闭,trial_spawner.close_shutter
试炼刷怪笼：充能,trial_spawner.detect_player
试炼刷怪笼：喷出物品,trial_spawner.eject_item
试炼刷怪笼：损坏中,trial_spawner.hit
试炼刷怪笼：开启,trial_spawner.open_shutter
试炼刷怪笼：被放置,trial_spawner.place
试炼刷怪笼：生成生物,trial_spawner.spawn_mob
试炼刷怪笼：被踩上,trial_spawner.step
地图：绘制,ui.cartography_table.take_result
UI：禁用极限模式,ui.hardcore_disable
UI：启用极限模式,ui.hardcore_enable
UI：按下切换极限模式按钮,ui.hardcore_toggle_press
织布机：选择图案,ui.loom.select_pattern
织布机：使用,ui.loom.take_result
切石机：使用,ui.stonecutter.take_result
远古残骸：被使用,use.ancient_debris
玄武岩：被使用,use.basalt
骨块：被使用,use.bone_block
蜡烛：被使用,use.candle
洞穴藤蔓：被使用,use.cave_vines
锁链：被使用,use.chain
布质方块：被使用,use.cloth
铜块：被使用,use.copper
珊瑚：被使用,use.coral
深板岩：被使用,use.deepslate
深板岩砖：被使用,use.deepslate_bricks
缠根泥土：被使用,use.dirt_with_roots
滴水石块：被使用,use.dripstone_block
草：被使用,use.grass
沙砾：被使用,use.gravel
垂根：被使用,use.hanging_roots
蜂蜜块：被使用,use.honey_block
梯子：被使用,use.ladder
苔藓：被使用,use.moss
下界砖：被使用,use.nether_brick
下界金矿石：被使用,use.nether_gold_ore
下界苗：被使用,use.nether_sprouts
下界疣：被使用,use.nether_wart
下界合金块：被使用,use.netherite
下界岩：被使用,use.netherrack
菌岩：被使用,use.nylium
滴水石锥：被使用,use.pointed_dripstone
菌索：被使用,use.roots
沙子：被使用,use.sand
幽匿感测体：被使用,use.sculk_sensor
菌光体：被使用,use.shroomlight
黏液块：被使用,use.slime
雪块：被使用,use.snow
灵魂沙：被使用,use.soul_sand
灵魂土：被使用,use.soul_soil
孢子花：被使用,use.spore_blossom
菌柄：被使用,use.stem
石头：被使用,use.stone
藤蔓：被使用,use.vines
木头：被使用,use.wood
宝库：燃起,vault.activate
宝库：噼啪作响,vault.ambient
宝库：被破坏,vault.break
宝库：关闭,vault.close_shutter
宝库：熄灭,vault.deactivate
宝库：喷出物品,vault.eject_item
宝库：损坏中,vault.hit
宝库：解锁,vault.insert_item
宝库：解锁失败,vault.insert_item_fail
宝库：打开,vault.open_shutter
宝库：被放置,vault.place
宝库：拒绝已奖励玩家,vault.reject_rewarded_player
宝库：被踩上,vault.step
风弹：爆裂,wind_charge.burst

